Entry #	Category	Judge #	Score #1	Judge 2	Score #2	Judge 3	Score #3	Final Score	Tie Breaker	DQ
26201RSP	RS	199		634		708				FALSE
26202RSP	RS	463		956		959				FALSE
26203CMP	CM	244		815		955				FALSE
26204MSP	MS	236		486		604				FALSE
26205MSP	MS	406		486		759				FALSE
26206MSP	MS	318		662		760				FALSE
26207MSP	MS	562		565		649				FALSE
26208MSP	MS	570		829		914				FALSE
26209HIP	HI	174		881		952				FALSE
26210PFP	RL	463		627		669				FALSE
26211NOP	MS	634		669		708				FALSE
26212RSP	RS	236		864		956				FALSE
26213RLP	RL	310		609		809				FALSE
26214RLP	RL	113		604		950				FALSE
26215MSP	MS	140		562		960				FALSE
26216RSP	RS	669		773		864				FALSE
26217NOP	CM	611		463		634				FALSE
26218NOP	HI	627		634		815				FALSE
26219NOP	HI	611		634		711				FALSE
26220CMP	CM	627		565		632				FALSE
26221CMP	CM	670		897		955				FALSE
26222RLP	RL	310		951		953				FALSE
26223RLP	RL	508		819		950				FALSE
26224RSP	RS	463		670		730				FALSE
26225HIP	HI	236		604		901				FALSE
26226RLP	RL	604		609		627				FALSE
26227RLP	RL	141		157		685				FALSE
26228RLP	RL	236		669		951				FALSE
26229MSP	MS	627		630		961				FALSE
26230CMP	CM	677		685		897				FALSE
26231RLP	RL	136		669		759				FALSE
26232MSP	MS	318		406		914				FALSE
26233RLP	RL	174		759		627				FALSE
26234RLP	RL	140		174		308				FALSE
26235RSP	RS	630		634		685				FALSE
26236RSP	RS	463		685		953				FALSE
26237MSP	MS	897		955		961				FALSE
26238MSP	MS	565		604		960				FALSE
26239CMP	CM	181		518		670				FALSE
26240RLP	RL	318		707		773				FALSE
26241RLP	RL	108		174		236				FALSE
26243PFP	RL	108		136		627				FALSE
26242RLP	RL	301		880		881				FALSE
26244MSP	MS	570		889		915				FALSE
26245RLP	RL	108		137		707				FALSE
26246RLP	RL	137		575		773				FALSE
26247MSP	MS	500		897		961				FALSE
26248RLP	RL	157		682		819				FALSE
26249MSP	MS	DNA	0	DNA	0	DNA	0	DQ	DQ	TRUE
26250RSP	RS	669		670		708				FALSE
26251MSP	MS	181		897		961				FALSE
26252CMP	CM	518		677		955				FALSE
26253MSP	MS	562		609		611				FALSE
26254HIP	HI	113		157		630				FALSE
26255MSP	MS	562		604		707				FALSE
26256HIP	HI	880		901		953				FALSE
26257HIP	HI	711		809		951				FALSE
26258CMP	CM	602		670		897				FALSE
26259MSP	MS	235		562		649				FALSE
26260MSP	MS	662		829		889				FALSE
26261HIP	HI	602		881		959				FALSE
26262HIP	HI	157		174		953				FALSE
26263MSP	MS	565		609		915				FALSE
26264MSP	MS	604		649		840				FALSE
26265MSP	MS	508		955		961				FALSE
26266HIP	HI	602		670		955				FALSE
26267HIP	HI	301		819		955				FALSE
26268PFP	RL	108		669		952				FALSE
26269MSP	MS	386		570		604				FALSE
26270MSP	MS	486		565		609				FALSE
26271MSP	MS	486		565		840				FALSE
26272RSP	RS	406		518		953				FALSE
26273RSP	RS	140		685		773				FALSE
26274RSP	RS	957		958		959				FALSE
26275RSP	RS	174		344		864				FALSE
26276RSP	RS	632		864		959				FALSE
26277CMP	CM	897		954		955				FALSE
26278MSP	MS	344		575		840				FALSE
26279MSP	MS	386		611		957				FALSE
26280MSP	MS	406		773		914				FALSE
26281RSP	RS	199		669		878				FALSE
26282RSP	RS	627		632		881				FALSE
26283RSP	RS	140		236		953				FALSE
26284RLP	RL	136		140		199				FALSE
26285MSP	MS	386		707		759				FALSE
26286RSP	RS	199		864		951				FALSE
26287RSP	RS	140		199		669				FALSE
26288MSP	MS	236		611		773				FALSE
26289HIP	HI	140		604		953				FALSE
26290MSP	MS	244		500		839				FALSE
26291HIP	HI	113		746		951				FALSE
26292PFP	RL	604		632		669				FALSE
26293HIP	HI	140		157		181				FALSE
26294RLP	RL	141		318		611				FALSE