Entry #	Category	Judge #	Score #1	Judge 2	Score #2	Judge 3	Score #3	Judge 4	Score #4	Final Score	DQ
26101MSU	MS	137		310		562		649			FALSE
26102CMU	MS	108		518		707		962			FALSE
26103CMU	MS	137		677		809		839			FALSE
26104MSU	MS	162		236		270		486			FALSE
26105MSU	MS	182		310		428		801			FALSE
26106MSU	MS	470		829		889		898			FALSE
26107MSU	MS	602		881		898		901			FALSE
26108MSU	MS	244		604		649		685			FALSE
26109RLU	RL	515		841		877		901			FALSE
26110RLU	RL	295		428		877		881			FALSE
26111MSU	MS	162		295		671		801			FALSE
26112MSU	MS	270		308		671		841			FALSE
261213MSU	MS	DNA	0	DNA	0	DNA	0	DNA	0	DQ	TRUE
26114RLU	RL	236		604		707		904			FALSE
26115PFU	RL	136		632		708		773			FALSE
26116PFU	PF	DNA	0	DNA	0	DNA	0	DNA	0	DQ	TRUE
26117MSU	MS	244		685		889		897			FALSE
26118MSU	MS	662		782		897		950			FALSE
26119MSU	MS	141		562		632		782			FALSE
26120RLU	RL	515		682		904		962			FALSE
26121MSU	MS	386		840		880		957			FALSE
26122MSU	MS	181		508		819		955			FALSE
26123CMU	CM	DNA	0	DNA	0	DNA	0	DNA	0	DQ	TRUE
26124MSU	MS	113		301		562		570			FALSE
26125MSU	MS	406		575		759		915			FALSE
26126PFU	RL	463		773		951		952			FALSE